domain,BL,DP,ABY,ACR,Dmoz,C,N,O,D,Reg,RDT,Traffic,Valuation,Price
www-7130.com,"193,555","7,565",2019,37,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-001303.com,"16,339","7,015",2020,19,-,registered,available,available,available,1,2,2,0 USD,50 USD
ab25.net,0,"6,916",2010,4,-,registered,registered,registered,registered,15,59,11,"1,089 USD",50 USD
www-09100.com,"7,834","6,084",2020,13,-,registered,available,available,available,1,2,7,0 USD,50 USD
www-163577.com,"6,826","6,072",2020,17,-,registered,available,available,available,1,2,7,0 USD,50 USD
www-000453.com,"7,429","5,979",2020,20,-,registered,available,available,available,1,2,9,0 USD,50 USD
www-635858.com,"17,286","5,656",2019,3,-,registered,available,available,available,1,2,0,0 USD,50 USD
izlenme-satin-al.com,"49,975","3,388",-,0,-,registered,available,available,available,1,2,6,214 USD,40 USD
www-kk490.com,"6,181","2,293",2020,7,-,registered,available,available,available,1,2,0,0 USD,50 USD
cycgida.com,"2,058","2,090",2013,26,-,registered,available,available,available,1,2,2,774 USD,50 USD
www-0007kj.com,"1,630","2,072",2019,6,-,registered,available,available,available,1,2,13,0 USD,50 USD
www-99244.com,"6,532","2,027",2019,23,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-55898.com,"11,401","1,994",2020,8,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-87374a.com,"11,351","1,926",2020,13,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-885533.com,"5,212","1,920",2020,13,-,registered,available,available,available,1,2,2,0 USD,50 USD
www44302y.com,"5,397","1,914",2020,13,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-97207k.com,"10,947","1,891",2020,14,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-11144b.com,"5,479","1,886",2020,19,-,registered,available,available,available,1,2,7,0 USD,50 USD
wwwlhcxg.com,"5,443","1,882",2020,21,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-133266.com,"5,389","1,881",2020,18,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-058128.com,"5,196","1,881",2020,13,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-km8988.com,"10,988","1,880",2020,13,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-998111.com,"12,784","1,874",2020,14,-,registered,available,available,available,1,2,7,0 USD,50 USD
www-345230.com,"5,372","1,867",2020,9,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-788133.com,"5,463","1,865",2020,12,-,registered,available,available,available,1,2,4,0 USD,50 USD
www7849c.com,"5,317","1,860",2020,23,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-188338.com,"5,290","1,859",2020,13,-,registered,available,available,available,1,2,4,0 USD,50 USD
wwwok1965.com,"5,254","1,859",2020,15,-,registered,available,available,available,1,2,7,0 USD,50 USD
www24304a.com,"5,347","1,858",2020,11,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-1f888.com,"5,415","1,858",2020,19,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-65844.com,"5,402","1,856",2020,10,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-767788.com,"22,026","1,854",2020,22,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-179999.com,"13,826","1,850",2020,20,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-588tm.com,"5,288","1,849",2020,18,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-079567.com,"5,245","1,847",2020,14,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-0488.com,"8,249","1,845",2020,10,-,registered,available,available,available,1,3,2,300 USD,50 USD
www-499916.com,"5,257","1,843",2020,18,-,registered,available,available,available,1,2,2,0 USD,50 USD
