item_id,title,raiting,description,price,href
p282334828, Ноутбук Acer Aspire 3 A315-35-C654 (NX.A6LEU.01A) Pure Silver, 12 відгуків ,"Екран 15.6"" (1920x1080) Full HD, матовий / Intel Celeron N4500 (1.1 - 2.8 ГГц) / RAM 4 ГБ / SSD 128 ГБ / Intel UHD Graphics / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.7 кг / срібний",12999,https://rozetka.com.ua/ua/acer_nx_a6leu_01a/p282334828/
p335892088, Ноутбук Acer Aspire 7 A715-42G-R8BL (NH.QDLEU.008) Charcoal Black, 55 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.15 кг / чорний",36999,https://rozetka.com.ua/ua/acer-nhqdleu008/p335892088/
p348293112, Ноутбук Lenovo Legion 5 15IMH6 (82NL00B8RA) Phantom Black, 6 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 120 Гц, матовий / Intel Core i5-10500H (2.5 - 4.5 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / чорний",41999,https://rozetka.com.ua/ua/lenovo-82nl00b8ra/p348293112/
p317178151, Ноутбук HP 245 G8 (3V5G0EA) Dark Ash Silver, залишити відгук ,"Екран 14” IPS (1920x1080) Full HD, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 8 ГБ / SSD 256 ГБ / AMD Radeon Graphics / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / Windows 10 Pro 64bit / 1.47 кг / чорний",27999,https://rozetka.com.ua/ua/hp-3v5g0ea/p317178151/
p351936264, Ноутбук ASUS VivoBook 15 OLED K513EA-L11309 (90NB0SG1-M012R0) Indie Black / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 512 ГБ, 3 відгуки ,"Екран 15.6"" OLED (1920x1080) Full HD, глянсовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 8 ГБ / SSD 512 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / чорний",24999,https://rozetka.com.ua/ua/asus-90nb0sg1-m012r0/p351936264/
p348284409, Ноутбук ASUS VivoBook 17 X712EA-BX820 (90NB0TW1-M00J20) Transparent Silver / Intel Pentium Gold 7505 / RAM 8 ГБ / SSD 256 ГБ, 4 відгуки ,"Екран 17.3"" (1600x900) HD+, матовий / Intel Pentium Gold 7505 (2.0 — 3.5 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / срібний",17499,https://rozetka.com.ua/ua/asus-90nb0tw1-m00j20/p348284409/
p353955960, Ноутбук Acer Aspire 3 A315-58G-3953 (NX.ADUEU.01M) Pure Silver, 9 відгуків ,"Екран 15.6” IPS (1920x1080) Full HD, матовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce MX350, 2 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.7 кг / срібний",22999,https://rozetka.com.ua/ua/acer-nxadueu01m/p353955960/
p332414782, Ноутбук Lenovo Yoga 7 14ACN6 (82N7009QRA) Slate Grey, 5 відгуків ,"Екран 14"" IPS (1920x1080) Full HD, Multi-Touch, глянсовий / AMD Ryzen 7 5800U (1.9 - 4.4 ГГц) / RAM 16 ГБ / SSD 512 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / Windows 11 Home 64bit / 1.45 кг / сірий",47777,https://rozetka.com.ua/ua/lenovo-82n7009qra/p332414782/
p358228794, Ноутбук ASUS Vivobook 15 M1502IA-BQ091 (90NB0Y51-M003F0) Quiet Blue / AMD Ryzen 7 4800H / RAM 16 ГБ / SSD 512 ГБ, залишити відгук ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 7 4800H (2.9 - 4.2 ГГц) / RAM 16 ГБ / SSD 512 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.7 кг / синій",29999,https://rozetka.com.ua/ua/asus-90nb0y51-m003f0/p358228794/
p335890867, Ноутбук Acer Aspire 5 A515-45G-R91R (NX.A8CEU.00A) Pure Silver, 5 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 16 ГБ / SSD 512 ГБ / AMD Radeon RX 640, 2 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.77 кг / срібний",30999,https://rozetka.com.ua/ua/acer-nxa8ceu00a/p335890867/
